ilkid,firstname,lastname,leag,gp,minutes,pts,oreb,dreb,reb,asts,stl,blk,turnover,pf,fga,fgm,fta,ftm,tpa,tpm
ANDERWI01,Willie,Anderson,N,555,15974,6771,550,1532,2082,2105,594,342,1163,1500,5952,2804,1353,1064,372,99
ANIELDO01,Don,Anielak,N,1,10,3,0,0,2,0,0,0,0,0,4,0,4,3,0,0
ANSLEMI01,Michael,Ansley,N,149,2143,1026,311,310,621,67,51,24,85,284,746,383,360,260,0,0
ANSTECH01,Chris,Anstey,N,155,2157,813,178,356,534,127,78,65,147,373,734,303,269,203,29,4
ANTHOCA01,Carmelo,Anthony,N,157,5603,3283,324,600,924,421,165,71,471,454,2695,1154,1098,864,372,111
ANTHOGR01,Greg,Anthony,N,757,15848,5497,262,1155,1417,2997,887,79,1043,1324,4749,1914,1445,1059,1748,610
ARAUJRA01,Rafael,Araujo,N,59,736,196,59,126,185,16,21,8,52,157,175,76,55,43,3,1
ARCENST01,Stacey,Arceneaux,N,7,110,50,0,0,32,4,0,0,0,10,56,22,13,6,0,0
ARCHINA01,Nate,Archibald,N,876,31159,16481,344,1015,2046,6476,719,81,1123,2002,12628,5899,5760,4664,85,19
ARCHIRO01,Robert,Archibald,N,44,328,51,27,42,69,16,14,6,17,59,53,15,49,21,0,0
ARDJI01,Jim,Ard,A,213,3100,1138,0,159,1012,129,16,25,169,363,1039,452,360,230,17,4
ARDJI01,Jim,Ard,N,218,2666,771,241,579,820,149,43,96,14,384,831,300,246,171,0,0
ARENAGI01,Gilbert,Arenas,N,264,9363,5124,235,915,1150,1374,435,63,855,796,4001,1697,1585,1252,1321,478
ARIZATR01,Trevor,Ariza,N,80,1382,468,89,153,242,85,70,18,73,150,389,172,174,121,13,3
ARIZIPA01,Paul,Arizin,N,713,24897,16266,0,0,6129,1665,0,0,0,2764,13354,5628,6189,5010,0,0
ARLAUJO01,Joe,Arlauckas,N,9,85,34,6,7,13,8,3,4,4,16,43,14,8,6,0,0
ARMSTBJ01,B.j.,Armstrong,N,747,17790,7320,192,1129,1321,2479,533,47,889,1128,5981,2850,1383,1184,1025,436
ARMSTBO01,Bob,Armstrong,N,19,110,28,0,0,39,3,0,0,0,13,37,11,12,6,0,0
ARMSTBR01,Brandon,Armstrong,N,108,699,239,17,46,63,24,22,4,37,83,287,101,20,12,75,25
ARMSTDA01,Darrell,Armstrong,N,647,17470,7002,534,1452,1986,3044,1008,87,1381,1172,5891,2424,1514,1337,2432,817
ARMSTPA01,Paul,Armstrong,N,153,0,1040,0,0,89,358,0,0,0,456,1176,347,500,346,0,0
ARMSTTA01,Tate,Armstrong,N,92,975,350,31,57,88,105,33,0,79,64,350,159,40,32,0,0
ARNELJE01,Jesse,Arnelle,N,31,409,147,0,0,170,18,0,0,0,60,164,52,69,43,0,0
ARNETJA01,Jay,Arnette,N,114,1177,424,0,0,116,139,0,0,0,233,447,163,129,98,0,0
ARNZEBO01,Bob,Arnzen,A,56,358,142,0,20,65,11,3,2,8,34,134,63,23,15,5,1
ARNZEBO01,Bob,Arnzen,N,55,594,301,0,0,152,24,0,0,0,54,277,128,52,45,0,0
ARROYCA01,Carlos,Arroyo,N,196,3802,1494,80,239,319,701,123,10,302,345,1323,562,402,321,155,49
ARTESRO01,Ron,Artest,N,352,11568,5073,330,1335,1665,1049,735,229,807,1093,4287,1794,1624,1176,979,309
ARTHUJO01,John,Arthurs,N,11,86,35,0,0,14,17,0,0,0,15,35,12,15,11,0,0
ASKEWVI01,Vincent,Askew,N,467,9361,3313,400,776,1176,1017,304,106,503,972,2534,1215,1070,807,253,76
ASKINKE01,Keith,Askins,N,486,7983,1852,525,903,1428,375,278,170,321,1094,1688,677,311,223,774,275
ASMONDO01,Don,Asmonga,N,7,46,5,0,0,1,5,0,0,0,12,15,2,1,1,0,0
ATHARI01,Richard,Atha,N,43,448,137,0,0,66,51,0,0,0,63,135,53,39,31,0,0
ATKINCH01,Chucky,Atkins,N,453,12119,4825,113,730,843,1655,336,27,739,888,4342,1810,732,546,1776,659
ATTLEAL01,Alvin,Attles,N,711,17826,6328,0,0,2463,2483,0,0,0,2417,5545,2499,2106,1330,0,0
AUBUCCH01,Chet,Aubuchon,N,30,0,65,0,0,0,20,0,0,0,46,91,23,35,19,0,0
AUGMOST01,Stacey,Augmon,N,965,21270,7919,1247,1916,3163,1538,962,311,1237,1710,6407,3012,2586,1883,79,12
AUSTIIS01,Isaac,Austin,N,432,8350,3285,616,1414,2030,538,214,226,701,967,2901,1295,1024,686,51,9
AUSTIJO01,John,Austin,A,41,692,317,0,0,64,58,0,0,57,110,279,108,140,101,11,0
AUSTIJO01,John,Austin,N,4,61,23,0,0,7,4,0,0,0,12,22,5,16,13,0,0
AUSTIKE01,Ken,Austin,N,7,28,12,2,1,3,1,1,1,3,7,13,6,0,0,0,0
AVENTAN01,Anthony,Avent,N,352,6729,1958,560,1024,1584,278,166,211,416,824,2019,814,481,330,2,0
AVERIWI01,William,Averitt,A,236,5942,3349,0,519,519,748,256,41,590,586,3200,1311,890,671,225,56
AVERIWI01,William,Averitt,N,130,2221,1085,37,124,161,330,69,14,143,250,1103,432,310,221,0,0
AVERYWI01,William,Avery,N,142,1205,379,14,79,93,199,34,6,106,125,415,137,91,65,157,40
AWTREDE01,Dennis,Awtrey,N,733,14159,3516,703,1514,3342,1467,186,182,245,1702,3009,1382,1154,752,0,0
BABICMI01,Milos,Babic,N,21,87,37,8,12,20,10,2,1,10,7,32,12,20,13,0,0
BACHJO01,Johnny,Bach,N,34,0,119,0,0,0,25,0,0,0,24,119,34,75,51,0,0
BACONHE01,Henry,Bacon,A,47,425,166,0,0,82,38,0,0,64,72,164,60,73,44,10,2
BAECHJI01,Jim,Baechtold,N,321,8256,3123,0,0,1009,685,0,0,0,795,2876,1117,1135,889,0,0
BAGARDA01,Dalibor,Bagaric,N,95,975,251,37,201,238,37,29,43,72,163,269,97,102,57,2,0
BAGLEJO01,John,Bagley,N,665,17120,5802,413,1316,1729,3980,755,54,1512,1090,5398,2359,1245,970,473,114
BAILECA01,Carl,Bailey,N,1,7,2,0,0,0,0,0,0,2,2,1,1,0,0,0,0
BAILEGU01,Gus,Bailey,N,147,1346,389,95,149,244,168,56,43,45,150,384,156,149,76,1,1
BAILEJA01,James,Bailey,N,595,11625,5246,1010,1978,2988,488,305,521,1057,1978,4228,2045,1644,1155,13,1
BAILETH01,Thurl,Bailey,N,928,24873,11834,1304,3414,4718,1298,435,1086,1444,1843,10056,4753,2863,2324,35,4
BAILETO01,Toby,Bailey,N,73,698,241,50,76,126,43,22,6,35,79,226,92,78,54,15,3
BAKERJI01,Jimmie,Baker,A,5,40,6,0,14,14,4,0,3,6,11,15,3,2,0,0,0
BAKERMA01,Mark,Baker,N,1,2,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
BAKERMA02,Maurice,Baker,N,5,19,0,1,1,2,1,1,0,1,3,1,0,0,0,0,0
BAKERNO01,Norm,Baker,N,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
BAKERVI01,Vin,Baker,N,783,25653,11812,2159,3689,5848,1504,578,793,1747,2548,9660,4685,3769,2403,181,39
BALLAGR01,Greg,Ballard,N,802,22073,9953,1434,3424,4858,1733,877,256,1059,1807,8942,4220,1805,1420,275,93
BALLCE01,Cedric,Ball,N,7,26,8,5,6,11,0,0,2,2,5,8,3,2,2,0,0
BALTIHE01,Herschel,Baltimore,N,58,0,138,0,0,0,16,0,0,0,98,263,53,69,32,0,0
BANKSGE01,Gene,Banks,N,468,13074,5305,1009,1709,2718,1335,436,101,835,1289,3961,2134,1418,1035,46,2
BANKSMA01,Marcus,Banks,N,162,2530,852,59,200,259,330,151,26,204,317,728,292,294,220,145,48
BANKSWA01,Walker,Banks,A,16,154,41,0,0,49,8,0,0,0,34,34,17,17,7,0,0
BANNIKE01,Ken,Bannister,N,253,3867,1501,276,617,893,111,109,80,347,669,1202,586,669,329,4,0
BANTOMI01,Mike,Bantom,N,706,19725,8568,1632,2885,4517,1623,630,478,946,2489,7362,3446,2418,1673,15,3
BARBEJO01,John,Barber,N,5,5,7,0,0,6,0,0,0,0,4,8,2,6,3,0,0
BARBOLE01,Leandrinho,Barbosa,N,133,2587,992,55,198,253,291,123,14,207,311,824,378,130,102,349,134
BARDOST01,Stephen,Bardo,N,33,299,73,13,47,60,44,12,4,22,45,85,28,23,16,10,1
BARKECL01,Cliff,Barker,N,149,494,557,0,0,181,294,0,0,0,253,637,201,234,155,0,0
BARKETO01,Tom,Barker,N,98,1830,639,156,364,520,75,43,52,34,299,592,250,201,139,0,0
BARKLCH01,Charles,Barkley,N,1073,39330,23757,4260,8286,12546,4215,1648,888,3376,3287,15605,8435,8643,6349,2020,538
BARKLER01,Erick,Barkley,N,27,266,77,4,17,21,40,19,1,17,31,90,32,10,9,15,4
BARKSDO01,Don,Barksdale,N,262,7460,2895,0,0,2088,549,0,0,0,941,2747,1016,1307,863,0,0
BARNEDI01,Dick,Barnett,N,971,28937,15358,1,3,2812,2729,1,0,0,2514,13227,6034,4324,3290,0,0
BARNEHA01,Harry,Barnes,N,22,126,43,0,0,26,5,0,0,0,25,64,18,13,7,0,0
BARNEJI01,Jim,Barnes,N,454,9455,3997,0,0,2939,377,0,0,0,1497,3607,1548,1317,901,0,0
BARNEJI02,Jim,Barnett,N,732,17410,8536,191,312,2259,2232,131,30,0,1573,7642,3326,2363,1884,0,0
BARNEMA01,Marvin,Barnes,A,144,5563,3465,0,1927,1927,399,220,271,537,601,2916,1458,779,546,14,3
BARNEMA01,Marvin,Barnes,N,171,3718,1569,295,651,946,252,145,167,222,576,1444,638,436,293,0,0
BARNEMA02,Matt,Barnes,N,81,1433,335,102,182,284,105,57,10,89,156,289,125,119,78,35,7
BARNENA01,Nate,Barnett,A,12,73,27,0,8,8,8,3,1,8,22,26,12,8,3,1,0
BARNHJO01,John,Barnhill,A,163,3871,1437,0,0,308,488,0,0,12,318,1407,534,387,262,454,107
BARNHJO01,John,Barnhill,N,426,10054,3648,0,0,1193,1205,0,0,0,751,3583,1490,1026,668,0,0
BARNHLE01,Leo,Barnhorst,N,344,7279,3232,0,0,1506,1116,0,0,0,1033,3689,1356,782,520,0,0
BARNHNO01,Norton,Barnhill,N,4,10,4,2,1,3,1,0,0,0,5,6,2,0,0,0,0
BARREAN01,Andre,Barrett,N,38,483,118,11,29,40,69,19,1,27,51,124,45,19,14,52,14
BARREER01,Ernie,Barrett,N,131,2092,641,0,0,343,229,0,0,0,300,724,267,143,107,0,0
BARREMI01,Mike,Barrett,A,187,5300,2500,0,0,592,730,0,0,39,473,2215,974,614,458,303,94
BARRJO01,John,Barr,N,58,0,295,0,0,0,54,0,0,0,164,438,124,79,47,0,0
BARRMI01,Mike,Barr,A,234,5117,1519,0,275,502,686,158,25,428,493,1292,631,327,248,27,9
BARRMI01,Mike,Barr,N,73,1224,285,33,97,130,175,52,18,0,96,279,122,57,41,0,0
BARRODA01,Dana,Barros,N,850,19481,8901,231,1378,1609,2837,740,46,1213,1074,7148,3281,1456,1249,2652,1090
BARRTH01,Thomas,Barr,N,31,145,61,0,0,20,28,0,0,0,27,62,25,13,11,0,0
BARRYBR01,Brent,Barry,N,676,19340,6993,339,1973,2312,2499,819,208,1110,1479,5199,2391,1365,1121,2710,1090
BARRYDR01,Drew,Barry,N,60,598,134,8,59,67,111,19,2,55,75,103,43,31,24,63,24
BARRYJO01,Jon,Barry,N,801,13537,4629,289,1193,1482,1758,709,110,786,991,3607,1570,994,844,1644,645
BARRYRI01,Rick,Barry,A,226,9328,6884,0,0,1695,935,0,0,404,764,5120,2443,2154,1895,372,103
BARRYRI01,Rick,Barry,N,794,28825,18395,510,2366,5168,4017,1104,269,574,2264,16163,7252,4243,3818,221,73
BARTEED01,Ed,Bartels,N,32,0,135,0,0,84,32,0,0,0,83,183,46,80,43,0,0
BARTOVI01,Vic,Bartolome,N,38,165,34,0,0,60,3,0,0,0,22,59,15,5,4,0,0
BASKEJE01,Jerry,Baskerville,N,21,105,26,13,15,28,3,6,5,0,32,26,8,16,10,0,0
BASSETI01,Tim,Bassett,A,238,5642,1543,0,1652,1652,291,149,112,281,591,1413,650,411,239,14,4
BASSETI01,Tim,Bassett,N,235,5588,1390,502,994,1496,285,209,115,192,673,1470,570,420,250,0,0
BASTOMA01,Maceo,Baston,N,16,106,40,4,19,23,0,4,11,6,16,25,15,12,10,0,0
BATEEME01,Mengke,Bateer,N,46,494,156,2,112,114,27,11,5,40,118,156,61,39,29,15,5
BATESBI01,Billyray,Bates,N,187,3328,2197,148,165,313,352,151,16,274,265,1885,893,471,375,119,36
BATISMI01,Mike,Batiste,N,75,1248,481,82,175,257,52,42,16,69,120,467,197,88,69,81,18
BATTISH01,Shane,Battier,N,315,9943,3342,435,1044,1479,548,415,304,354,810,2686,1200,820,618,855,324
BATTITO01,Tony,Battie,N,532,11853,3479,898,2121,3019,376,306,566,490,1552,2965,1451,816,570,50,7
BATTLJO01,John,Battle,N,612,10910,5338,178,646,824,1257,273,43,659,874,4430,2054,1472,1168,227,62
BATTLKE01,Kenny,Battle,N,134,1795,627,138,189,327,106,98,31,91,214,482,243,189,137,30,4
BATTODA01,Dave,Batton,N,58,589,188,46,77,123,32,15,16,32,61,201,90,17,8,3,0
BATTSLL01,Lloyd,Batts,A,58,1317,598,0,197,197,106,73,6,89,104,680,249,94,58,147,42
BAUMHFR01,Frankie,Baumholtz,N,45,0,631,0,0,0,54,0,0,0,93,856,255,156,121,0,0
BAUMJO01,Johnny,Baum,A,179,2841,1206,0,201,537,110,36,16,147,275,1008,504,256,198,2,0
BAUMJO01,Johnny,Baum,N,65,556,292,0,0,129,31,0,0,0,56,304,126,58,40,0,0
BAXTELO01,Lonny,Baxter,N,121,1484,519,133,216,349,36,26,51,88,268,426,202,181,114,5,1
BAYLOEL01,Elgin,Baylor,N,846,33863,23149,0,0,11463,3650,0,0,0,2596,20171,8693,7391,5763,0,0
BAYNEHO01,Howard,Bayne,A,69,1181,338,0,0,456,71,0,0,117,199,361,130,143,77,7,1
BAZARSE01,Sergei,Bazarevich,N,10,74,30,1,6,7,14,1,1,7,10,22,11,9,7,6,1
BEACHED01,Ed,Beach,N,12,0,22,0,0,25,3,0,0,0,14,38,8,9,6,0,0
BEARDAL01,Al,Beard,A,12,118,30,0,0,46,0,0,0,12,39,23,12,11,6,0,0
BEARDBU01,Butch,Beard,N,605,14283,5622,482,970,2042,2189,499,36,164,1581,4495,2187,1619,1248,0,0
BEARDRA01,Ralph,Beard,N,126,0,2006,0,0,251,551,0,0,0,228,2046,749,660,508,0,0
BEASLCH01,Charlie,Beasley,A,281,7347,2633,0,0,704,860,0,0,318,651,2067,943,830,717,126,30
BEASLJE01,Jerome,Beasley,N,2,5,2,0,1,1,0,0,0,0,0,3,1,0,0,0,0
BEASLJO01,John,Beasley,A,506,13947,6909,0,120,4257,602,7,10,339,1294,5670,2786,1512,1256,256,81
BEATYZE01,Zelmo,Beaty,A,319,11328,6100,0,615,3716,526,62,143,530,1112,4343,2328,1786,1442,13,2
BEATYZE01,Zelmo,Beaty,N,570,18348,9107,93,234,5949,839,45,29,0,2132,7237,3396,3087,2315,0,0
BECKBY01,Byron,Beck,A,694,18717,8353,0,1114,5165,945,155,42,636,2208,7049,3574,1471,1192,44,13
BECKBY01,Byron,Beck,N,53,480,250,45,51,96,33,15,1,0,59,246,107,44,36,0,0
BECKCO01,Corey,Beck,N,88,951,241,36,89,125,123,43,9,87,134,206,93,76,52,5,3
BECKEAR01,Art,Becker,A,414,10554,5160,0,0,2604,410,0,0,447,1411,4408,2116,1101,919,28,9
BECKEMO01,Moe,Becker,N,43,0,162,0,0,0,30,0,0,0,98,358,70,44,22,0,0
BECKER01,Ernie,Beck,N,371,7054,2325,0,0,1191,669,0,0,0,667,2425,929,613,467,0,0
BEDELBO01,Bob,Bedell,A,269,4477,2257,0,0,1386,320,0,0,146,595,2075,878,633,490,58,11
BEDFOWI01,William,Bedford,N,238,2514,964,201,372,573,109,37,126,173,358,974,405,243,147,22,7
BEENDHA01,Hank,Beenders,N,111,0,935,0,0,0,53,0,0,0,304,1313,348,348,239,0,0
BEHAGRO01,Ron,Behagen,N,388,9131,3977,888,1824,2712,624,290,160,189,1293,3750,1594,1047,789,0,0
BEHNKEL01,Elmer,Behnke,N,4,55,16,0,0,17,4,0,0,0,13,22,6,7,4,0,0
BELLAWA01,Walt,Bellamy,N,1043,38940,20941,264,481,14241,2544,52,48,0,3536,15340,7914,8088,5113,0,0
BELLCH01,Charlie,Bell,N,7,44,8,2,3,5,2,0,0,5,3,11,3,2,2,6,0
BELLDE01,Dennis,Bell,N,63,545,175,52,67,119,28,28,10,0,65,203,76,43,23,0,0
BELLRA01,Raja,Bell,N,299,5901,2176,167,532,699,326,181,33,283,710,1930,830,480,366,398,150
BELLTR01,Troy,Bell,N,6,34,11,3,1,4,4,1,0,6,6,18,4,3,3,4,0
BELLWI01,William,Bell,N,36,494,183,0,0,94,56,0,0,0,66,203,77,46,29,0,0
BEMORIR01,Irv,Bemoras,N,131,2479,827,0,0,341,125,0,0,0,228,890,309,311,209,0,0
BENBOLE01,Leon,Benbow,N,115,1838,628,79,135,214,183,73,17,0,227,645,254,158,120,0,0
BENDEJO01,Jonathan,Bender,N,235,3533,1325,87,439,526,152,41,151,230,356,1116,465,410,308,258,87
BENJABE01,Benoit,Benjamin,N,807,21911,9223,1459,4604,6063,1070,522,1581,1847,2292,7224,3588,2837,2046,21,1
BENJACO01,Corey,Benjamin,N,153,2191,835,84,175,259,143,71,48,164,316,812,317,221,144,197,57
BENNEEL01,Elmer,Bennett,N,21,159,48,1,9,10,22,9,1,20,16,47,16,18,13,11,3
BENNEMA01,Mario,Bennett,N,68,606,269,84,98,182,24,31,22,33,112,208,111,90,46,3,1
BENNEME01,Mel,Bennett,A,75,2193,904,0,526,526,97,77,47,176,266,819,329,403,246,2,0
BENNEME01,Mel,Bennett,N,129,1532,498,193,233,426,107,52,51,65,267,439,152,319,194,2,0
BENNETO01,Tony,Bennett,N,152,1886,538,28,127,155,303,69,1,93,200,536,221,56,41,164,55
BENNEWI01,Winston,Bennett,N,136,2157,648,177,237,414,120,50,21,115,305,604,257,193,134,1,0
BENNEWI02,Willis,Bennett,A,59,993,440,0,0,147,84,0,0,145,165,385,147,216,140,25,6
BENOIDA01,David,Benoit,N,492,9314,3455,576,1408,1984,287,216,246,424,1021,3051,1335,722,574,661,211
BENSOKE01,Kent,Benson,N,680,15719,6168,1216,2665,3881,1203,605,586,1069,1935,5224,2578,1327,1005,34,7
BERCEGE01,Gene,Berce,N,3,0,10,0,0,0,2,0,0,0,6,16,5,5,0,0,0
BERGEGA01,Gary,Bergen,N,6,40,8,0,0,8,1,0,0,0,4,11,3,2,2,0,0
BERGHLA01,Larry,Bergh,A,20,255,121,0,0,85,18,0,0,0,52,120,49,33,23,1,0
BERRYRI01,Ricky,Berry,N,64,1406,706,57,140,197,80,37,22,82,197,567,255,166,131,160,65
BERRYWA01,Walter,Berry,N,205,4863,2882,398,573,971,292,122,151,404,586,2227,1201,751,479,5,1
BESHODE01,Del,Beshore,N,69,870,244,16,47,63,139,58,5,104,105,250,88,87,58,26,10
BESTTR01,Travis,Best,N,708,15149,5376,216,1033,1249,2444,661,60,928,1616,4642,2002,1324,1106,772,266
BIALOWE01,Wes,Bialosuknia,A,70,1224,608,0,0,89,57,0,0,62,101,570,238,132,103,73,29
BIANCAL01,Al,Bianchi,N,687,13649,5550,0,0,1722,1497,0,0,0,2069,5919,2212,1592,1126,0,0
BIASAHA01,Hank,Biasatti,N,6,0,6,0,0,0,0,0,0,0,3,5,2,4,2,0,0
BIBBYHE01,Henry,Bibby,N,675,15475,5775,463,1036,1581,2259,561,34,573,1364,5073,2149,1834,1434,147,43
BIBBYMI01,Mike,Bibby,N,511,18660,8203,339,1385,1724,3348,712,103,1280,1004,6912,3106,1773,1405,1588,586
