coachid,year,yr_order,firstname,lastname,season_win,season_loss,playoff_win,playoff_loss,team
KUNDLJO01 ,1955,1,John,Kundla,33,39,1,2,MIE
LAPCHJO01 ,1955,1,Joe,Lapchick,26,25,0,0,NYK
BORYLVI01 ,1955,1,Vince,Boryla,9,12,0,0,NYK
SENESGE01 ,1955,1,George,Senesky,45,27,7,3,PH1
WANZEBO01 ,1955,1,Bob,Wanzer,31,41,0,0,ROC
HOLZMRE01 ,1955,1,Red,Holzman,33,39,4,4,STL
CERVIAL01 ,1955,1,Al,Cervi,35,37,4,4,SYR
AUERBRE01 ,1956,1,Red,Auerbach,44,28,7,3,BOS
ECKMACH01 ,1956,1,Charles,Eckman,34,38,0,2,FTW
KUNDLJO01 ,1956,1,John,Kundla,34,38,2,3,MIE
BORYLVI01 ,1956,1,Vince,Boryla,36,36,0,0,NYK
SENESGE01 ,1956,1,George,Senesky,37,35,0,2,PH1
WANZEBO01 ,1956,1,Bob,Wanzer,31,41,0,0,ROC
HOLZMRE01 ,1956,1,Red,Holzman,14,19,0,0,STL
MARTISL01 ,1956,2,Slater,Martin,5,3,0,0,STL
HANNUAL01 ,1956,3,Alex,Hannum,15,16,6,4,STL
CERVIAL01 ,1956,1,Al,Cervi,4,8,0,0,SYR
SEYMOPA01 ,1956,2,Paul,Seymour,34,26,2,3,SYR
AUERBRE01 ,1957,1,Red,Auerbach,49,23,6,5,BOS
WANZEBO01 ,1957,1,Bob,Wanzer,33,39,0,2,CIN
ECKMACH01 ,1957,1,Charles,Eckman,9,16,0,0,DET
ROCHAEP01 ,1957,2,Ephraim,Rocha,24,23,3,4,DET
MIKANGE01 ,1957,1,George,Mikan,9,30,0,0,MIE
KUNDLJO01 ,1957,2,John,Kundla,10,23,0,0,MIE
BORYLVI01 ,1957,1,Vince,Boryla,35,37,0,0,NYK
SENESGE01 ,1957,1,George,Senesky,37,35,3,5,PH1
HANNUAL01 ,1957,1,Alex,Hannum,41,31,8,3,STL
SEYMOPA01 ,1957,1,Paul,Seymour,41,31,1,2,SYR
AUERBRE01 ,1958,1,Red,Auerbach,52,20,8,3,BOS
WANZEBO01 ,1958,1,Bob,Wanzer,3,15,0,0,CIN
MARSHTO01 ,1958,2,Tom,Marshall,16,38,0,0,CIN
ROCHAEP01 ,1958,1,Ephraim,Rocha,28,44,1,2,DET
KUNDLJO01 ,1958,1,John,Kundla,33,39,6,7,MIE
LEVANAN01 ,1958,1,Andrew,Levane,40,32,0,2,NYK
CERVIAL01 ,1958,1,Al,Cervi,32,40,0,0,PH1
PHILLAN01 ,1958,1,Andy,Phillip,6,4,0,0,STL
MACAUED01 ,1958,2,Ed,Macauley,43,19,2,4,STL
SEYMOPA01 ,1958,1,Paul,Seymour,35,37,5,4,SYR
AUERBRE01 ,1959,1,Red,Auerbach,59,16,8,5,BOS
MARSHTO01 ,1959,1,Tom,Marshall,19,56,0,0,CIN
ROCHAEP01 ,1959,1,Ephraim,Rocha,13,21,0,0,DET
MCGUIDI01 ,1959,2,Dick,McGuire,17,24,0,2,DET
CASTEJO01 ,1959,1,John,Castellani,11,25,0,0,MIE
POLLAJI01 ,1959,2,Jim,Pollard,14,25,5,4,MIE
LEVANAN01 ,1959,1,Andrew,Levane,8,19,0,0,NYK
BRAUNCA01 ,1959,1,Carl,Braun,19,29,0,0,NYK
JOHNSNE01 ,1959,1,Neil,Johnston,49,26,4,5,PH1
MACAUED01 ,1959,1,Ed,Macauley,46,29,7,7,STL
SEYMOPA01 ,1959,1,Paul,Seymour,45,30,1,2,SYR
AUERBRE01 ,1960,1,Red,Auerbach,57,22,8,2,BOS
WOLFCH01  ,1960,1,Charles,Wolf,33,46,0,0,CIN
MCGUIDI01 ,1960,1,Dick,McGuire,34,45,2,3,DET
SCHAUFR01 ,1960,1,Fred,Schaus,36,43,6,6,LAL
BRAUNCA01 ,1960,1,Carl,Braun,21,58,0,0,NYK
JOHNSNE01 ,1960,1,Neil,Johnston,46,33,0,3,PH1
SEYMOPA01 ,1960,1,Paul,Seymour,51,28,5,7,STL
HANNUAL01 ,1960,1,Alex,Hannum,38,41,4,4,SYR
AUERBRE01 ,1961,1,Red,Auerbach,60,20,8,6,BOS
POLLAJI01 ,1961,1,Jim,Pollard,18,62,0,0,CH2
WOLFCH01  ,1961,1,Charles,Wolf,43,37,1,3,CIN
MCGUIDI01 ,1961,1,Dick,McGuire,37,43,5,5,DET
SCHAUFR01 ,1961,1,Fred,Schaus,54,26,7,6,LAL
DOVOVED01 ,1961,1,Eddie,Dovovan,29,51,0,0,NYK
MCGUIFR01 ,1961,1,Frank,McGuire,49,31,6,6,PH1
SEYMOPA01 ,1961,1,Paul,Seymour,5,9,0,0,STL
LEVANAN01 ,1961,2,Andrew,Levane,20,40,0,0,STL
PETTIBO01 ,1961,3,Bob,Pettit,4,2,0,0,STL
HANNUAL01 ,1961,1,Alex,Hannum,41,39,2,3,SYR
AUERBRE01 ,1962,1,Red,Auerbach,58,22,8,5,BOS
MCMAHJA01 ,1962,1,Jack,McMahon,12,26,0,0,CH2
LEONABO01 ,1962,2,Bob,Leonard,13,29,0,0,CH2
WOLFCH01  ,1962,1,Charles,Wolf,42,38,6,6,CIN
MCGUIDI01 ,1962,1,Dick,McGuire,34,46,1,3,DET
SCHAUFR01 ,1962,1,Fred,Schaus,53,27,6,7,LAL
DOVOVED01 ,1962,1,Eddie,Dovovan,21,59,0,0,NYK
FEERIBO01 ,1962,1,Bob,Feerick,31,49,0,0,SFW
GALLAHA01 ,1962,1,Harry,Gallatin,48,32,6,5,STL
HANNUAL01 ,1962,1,Alex,Hannum,48,32,2,3,SYR
LEONABO01 ,1963,1,Bob,Leonard,31,49,0,0,BAL
AUERBRE01 ,1963,1,Red,Auerbach,59,21,8,2,BOS
MCMAHJA01 ,1963,1,Jack,McMahon,55,25,4,6,CIN
WOLFCH01  ,1963,1,Charles,Wolf,23,57,0,0,DET
SCHAUFR01 ,1963,1,Fred,Schaus,42,38,2,3,LAL
DOVOVED01 ,1963,1,Eddie,Dovovan,22,58,0,0,NYK
SCHAYDO01 ,1963,1,Dolph,Schayes,34,46,2,3,PHI
HANNUAL01 ,1963,1,Alex,Hannum,48,32,5,7,SFW
GALLAHA01 ,1963,1,Harry,Gallatin,46,34,6,6,STL
JEANNBU01 ,1964,1,Buddy,Jeannette,37,43,5,5,BAL
AUERBRE01 ,1964,1,Red,Auerbach,62,18,8,4,BOS
MCMAHJA01 ,1964,1,Jack,McMahon,48,32,1,3,CIN
WOLFCH01  ,1964,1,Charles,Wolf,2,9,0,0,DET
DEBUSDA01 ,1964,2,Dave,DeBusschere,29,40,0,0,DET
SCHAUFR01 ,1964,1,Fred,Schaus,49,31,5,6,LAL
DOVOVED01 ,1964,1,Eddie,Dovovan,12,26,0,0,NYK
GALLAHA01 ,1964,2,Harry,Gallatin,19,23,0,0,NYK
SCHAYDO01 ,1964,1,Dolph,Schayes,40,40,6,5,PHI
HANNUAL01 ,1964,1,Alex,Hannum,17,63,0,0,SFW
GALLAHA01 ,1964,1,Harry,Gallatin,17,16,0,0,STL
GUERIRI01 ,1964,2,Richie,Guerin,28,19,1,3,STL
SEYMOPA01 ,1965,1,Paul,Seymour,38,42,0,3,BAL
AUERBRE01 ,1965,1,Red,Auerbach,54,26,11,6,BOS
MCMAHJA01 ,1965,1,Jack,McMahon,45,35,2,3,CIN
DEBUSDA01 ,1965,1,Dave,DeBusschere,22,58,0,0,DET
SCHAUFR01 ,1965,1,Fred,Schaus,45,35,7,7,LAL
MCGUIDI01 ,1965,1,Dick,McGuire,24,35,0,0,NYK
GALLAHA01 ,1965,1,Harry,Gallatin,6,15,0,0,NYK
SCHAYDO01 ,1965,1,Dolph,Schayes,55,25,1,4,PHI
HANNUAL01 ,1965,1,Alex,Hannum,35,45,0,0,SFW
GUERIRI01 ,1965,1,Richie,Guerin,36,44,6,4,STL
FARMEMI01 ,1966,1,Mike,Farmer,1,8,0,0,BAL
JEANNBU01 ,1966,2,Buddy,Jeannette,3,13,0,0,BAL
SHUEGE01  ,1966,3,Gene,Shue,16,40,0,0,BAL
RUSSEBI01 ,1966,1,Bill,Russell,60,21,4,5,BOS
KERRJO01  ,1966,1,John,Kerr,33,48,0,3,CHI
MCMAHJA01 ,1966,1,Jack,McMahon,39,42,1,3,CIN
DEBUSDA01 ,1966,1,Dave,DeBusschere,28,45,0,0,DET
BUTCHDO01 ,1966,2,Donnis,Butcher,2,9,0,0,DET
SCHAUFR01 ,1966,1,Fred,Schaus,36,45,0,3,LAL
MCGUIDI01 ,1966,1,Dick,McGuire,36,45,1,3,NYK
HANNUAL01 ,1966,1,Alex,Hannum,68,13,11,4,PHI
SHARMBI01 ,1966,1,Bill,Sharman,44,37,9,6,SFW
GUERIRI01 ,1966,1,Richie,Guerin,39,42,5,4,STL
SHUEGE01  ,1967,1,Gene,Shue,36,46,0,0,BAL
RUSSEBI01 ,1967,1,Bill,Russell,54,28,12,7,BOS
KERRJO01  ,1967,1,John,Kerr,29,53,1,4,CHI
JUCKEED01 ,1967,1,Ed,Jucker,39,43,0,0,CIN
BUTCHDO01 ,1967,1,Donnis,Butcher,40,42,2,4,DET
VANBRBI01 ,1967,1,Bill,VanBredaKolff,52,30,10,5,LAL
MCGUIDI01 ,1967,1,Dick,McGuire,15,22,0,0,NYK
HOLZMRE01 ,1967,2,Red,Holzman,28,17,2,4,NYK
HANNUAL01 ,1967,1,Alex,Hannum,62,20,7,6,PHI
MCMAHJA01 ,1967,1,Jack,McMahon,15,67,0,0,SDR
BIANCAL01 ,1967,1,Al,Bianchi,23,59,0,0,SEA
SHARMBI01 ,1967,1,Bill,Sharman,43,39,4,6,SFW
GUERIRI01 ,1967,1,Richie,Guerin,56,26,2,4,STL
GUERIRI01 ,1968,1,Richie,Guerin,48,34,5,6,ATL
SHUEGE01  ,1968,1,Gene,Shue,57,25,0,4,BAL
RUSSEBI01 ,1968,1,Bill,Russell,48,34,12,6,BOS
MOTTADI01 ,1968,1,Dick,Motta,33,49,0,0,CHI
JUCKEED01 ,1968,1,Ed,Jucker,41,41,0,0,CIN
BUTCHDO01 ,1968,1,Donnis,Butcher,10,12,0,0,DET
SEYMOPA01 ,1968,2,Paul,Seymour,22,38,0,0,DET
VANBRBI01 ,1968,1,Bill,VanBredaKolff,55,27,11,7,LAL
COSTELA01 ,1968,1,Larry,Costello,27,55,0,0,MIL
HOLZMRE01 ,1968,1,Red,Holzman,54,28,6,4,NYK
RAMSAJA01 ,1968,1,Jack,Ramsay,55,27,1,4,PHI
KERRJO01  ,1968,1,John,Kerr,16,66,0,0,PHO
MCMAHJA01 ,1968,1,Jack,McMahon,37,45,2,4,SDR
BIANCAL01 ,1968,1,Al,Bianchi,30,52,0,0,SEA
LEEGE01   ,1968,1,George,Lee,41,41,2,4,SFW
GUERIRI01 ,1969,1,Richie,Guerin,48,34,4,5,ATL
SHUEGE01  ,1969,1,Gene,Shue,50,32,3,4,BAL
HEINSTO01 ,1969,1,Tom,Heinsohn,34,48,0,0,BOS
MOTTADI01 ,1969,1,Dick,Motta,39,43,1,4,CHI
COUSYBO01 ,1969,1,Bob,Cousy,36,46,0,0,CIN
VANBRBI01 ,1969,1,Bill,VanBredaKolff,31,51,0,0,DET
MULLAJO01 ,1969,1,Joe,Mullaney,46,36,11,7,LAL
COSTELA01 ,1969,1,Larry,Costello,56,26,5,5,MIL
HOLZMRE01 ,1969,1,Red,Holzman,60,22,12,7,NYK
RAMSAJA01 ,1969,1,Jack,Ramsay,42,40,1,4,PHI
KERRJO01  ,1969,1,John,Kerr,15,23,0,0,PHO
COLANJE01 ,1969,2,Jerry,Colangelo,24,20,3,4,PHO
MCMAHJA01 ,1969,1,Jack,McMahon,9,17,0,0,SDR
HANNUAL01 ,1969,2,Alex,Hannum,18,38,0,0,SDR
WILKELE01 ,1969,1,Lenny,Wilkens,36,46,0,0,SEA
LEEGE01   ,1969,1,George,Lee,22,30,0,0,SFW
ATTLEAL01 ,1969,2,Al,Attles,8,22,0,0,SFW
GUERIRI01 ,1970,1,Richie,Guerin,36,46,1,4,ATL
SHUEGE01  ,1970,1,Gene,Shue,42,40,8,10,BAL
HEINSTO01 ,1970,1,Tom,Heinsohn,44,38,0,0,BOS
SCHAYDO01 ,1970,1,Dolph,Schayes,22,60,0,0,BUF
MOTTADI01 ,1970,1,Dick,Motta,51,31,3,4,CHI
COUSYBO01 ,1970,1,Bob,Cousy,33,49,0,0,CIN
FITCHBI01 ,1970,1,Bill,Fitch,15,67,0,0,CLE
VANBRBI01 ,1970,1,Bill,VanBredaKolff,45,37,0,0,DET
MULLAJO01 ,1970,1,Joe,Mullaney,48,34,5,7,LAL
COSTELA01 ,1970,1,Larry,Costello,66,16,12,2,MIL
HOLZMRE01 ,1970,1,Red,Holzman,52,30,7,5,NYK
RAMSAJA01 ,1970,1,Jack,Ramsay,47,35,3,4,PHI
FITZSCO01 ,1970,1,Cotton,Fitzsimmons,48,34,0,0,PHO
TODDRO01  ,1970,1,Rolland,Todd,29,53,0,0,POR
WINTETE01 ,1970,1,Tex,Winter,40,42,0,0,SDR
WILKELE01 ,1970,1,Lenny,Wilkens,38,44,0,0,SEA
ATTLEAL01 ,1970,1,Al,Attles,41,41,1,4,SFW
GUERIRI01 ,1971,1,Richie,Guerin,36,46,2,4,ATL
SHUEGE01  ,1971,1,Gene,Shue,38,44,2,4,BAL
HEINSTO01 ,1971,1,Tom,Heinsohn,56,26,5,6,BOS
SCHAYDO01 ,1971,1,Dolph,Schayes,0,1,0,0,BUF
MCCARJO01 ,1971,2,John,McCarthy,22,59,0,0,BUF
MOTTADI01 ,1971,1,Dick,Motta,57,25,0,4,CHI
COUSYBO01 ,1971,1,Bob,Cousy,30,52,0,0,CIN
FITCHBI01 ,1971,1,Bill,Fitch,23,59,0,0,CLE
VANBRBI01 ,1971,1,Bill,VanBredaKolff,6,6,0,0,DET
LLOYDEA01 ,1971,2,Earl,Lloyd,20,50,0,0,DET
ATTLEAL01 ,1971,1,Al,Attles,51,31,1,4,GSW
WINTETE01 ,1971,1,Tex,Winter,34,48,0,0,HOU
SHARMBI01 ,1971,1,Bill,Sharman,69,13,12,3,LAL
COSTELA01 ,1971,1,Larry,Costello,63,19,6,5,MIL
HOLZMRE01 ,1971,1,Red,Holzman,48,34,9,7,NYK
RAMSAJA01 ,1971,1,Jack,Ramsay,30,52,0,0,PHI
FITZSCO01 ,1971,1,Cotton,Fitzsimmons,49,33,0,0,PHO
TODDRO01  ,1971,1,Rolland,Todd,12,44,0,0,POR
INMANST01 ,1971,2,Stu,Inman,6,20,0,0,POR
WILKELE01 ,1971,1,Lenny,Wilkens,47,35,0,0,SEA
FITZSCO01 ,1972,1,Cotton,Fitzsimmons,46,36,2,4,ATL
SHUEGE01  ,1972,1,Gene,Shue,52,30,1,4,BAL
HEINSTO01 ,1972,1,Tom,Heinsohn,68,14,7,6,BOS
RAMSAJA01 ,1972,1,Jack,Ramsay,21,61,0,0,BUF
MOTTADI01 ,1972,1,Dick,Motta,51,31,3,4,CHI
FITCHBI01 ,1972,1,Bill,Fitch,32,50,0,0,CLE
LLOYDEA01 ,1972,1,Earl,Lloyd,2,5,0,0,DET
SCOTTRA01 ,1972,2,Ray,Scott,38,37,0,0,DET
ATTLEAL01 ,1972,1,Al,Attles,47,35,5,6,GSW
WINTETE01 ,1972,1,Tex,Winter,17,30,0,0,HOU
EGANJO01  ,1972,2,John,Egan,16,19,0,0,HOU
COUSYBO01 ,1972,1,Bob,Cousy,36,46,0,0,KCK
SHARMBI01 ,1972,1,Bill,Sharman,60,22,9,8,LAL
COSTELA01 ,1972,1,Larry,Costello,60,22,2,4,MIL
HOLZMRE01 ,1972,1,Red,Holzman,57,25,12,5,NYK
RUBINRO01 ,1972,1,Roy,Rubin,4,47,0,0,PHI
LOUGHKE01 ,1972,2,Kevin,Loughery,5,26,0,0,PHI
VANBRBI01 ,1972,1,Bill,VanBredaKolff,3,5,0,0,PHO
COLANJE01 ,1972,2,Jerry,Colangelo,35,39,0,0,PHO
MCCLOJA01 ,1972,1,Jack,McCloskey,21,61,0,0,POR
NISSATO01 ,1972,1,Tom,Nissalke,13,32,0,0,SEA
BUCKWBU01 ,1972,2,Bucky,Buckwalter,13,24,0,0,SEA
FITZSCO01 ,1973,1,Cotton,Fitzsimmons,35,47,0,0,ATL
HEINSTO01 ,1973,1,Tom,Heinsohn,56,26,12,6,BOS
RAMSAJA01 ,1973,1,Jack,Ramsay,42,40,2,4,BUF
JONESKC01 ,1973,1,KC,Jones,47,35,3,4,CAP
MOTTADI01 ,1973,1,Dick,Motta,54,28,4,7,CHI
FITCHBI01 ,1973,1,Bill,Fitch,29,53,0,0,CLE
SCOTTRA01 ,1973,1,Ray,Scott,52,30,3,4,DET
ATTLEAL01 ,1973,1,Al,Attles,44,38,0,0,GSW
EGANJO01  ,1973,1,John,Egan,32,50,0,0,HOU
COUSYBO01 ,1973,1,Bob,Cousy,6,16,0,0,KCK
YOUNGDR01 ,1973,2,Draff,Young,0,3,0,0,KCK
JOHNSPH01 ,1973,3,Phil,Johnson,27,30,0,0,KCK
SHARMBI01 ,1973,1,Bill,Sharman,47,35,1,4,LAL
COSTELA01 ,1973,1,Larry,Costello,59,23,11,5,MIL
HOLZMRE01 ,1973,1,Red,Holzman,49,33,5,7,NYK
SHUEGE01  ,1973,1,Gene,Shue,25,57,0,0,PHI
MACLEJO01 ,1973,1,John,MacLeod,30,52,0,0,PHO
MCCLOJA01 ,1973,1,Jack,McCloskey,27,55,0,0,POR
RUSSEBI01 ,1973,1,Bill,Russell,36,46,0,0,SEA
FITZSCO01 ,1974,1,Cotton,Fitzsimmons,31,51,0,0,ATL
HEINSTO01 ,1974,1,Tom,Heinsohn,60,22,6,5,BOS
RAMSAJA01 ,1974,1,Jack,Ramsay,49,33,3,4,BUF
MOTTADI01 ,1974,1,Dick,Motta,47,35,7,6,CHI
FITCHBI01 ,1974,1,Bill,Fitch,40,42,0,0,CLE
SCOTTRA01 ,1974,1,Ray,Scott,40,42,1,2,DET
ATTLEAL01 ,1974,1,Al,Attles,48,34,12,5,GSW
EGANJO01  ,1974,1,John,Egan,41,41,3,5,HOU
JOHNSPH01 ,1974,1,Phil,Johnson,44,38,2,4,KCK
SHARMBI01 ,1974,1,Bill,Sharman,30,52,0,0,LAL
COSTELA01 ,1974,1,Larry,Costello,38,44,0,0,MIL
ROBERSC01 ,1974,1,Scotty,Robertson,1,14,0,0,NOJ
BAYLOEL01 ,1974,2,Elgin,Baylor,0,1,0,0,NOJ
VANBRBI01 ,1974,3,Bill,VanBredaKolff,22,44,0,0,NOJ
HOLZMRE01 ,1974,1,Red,Holzman,40,42,1,2,NYK
SHUEGE01  ,1974,1,Gene,Shue,34,48,0,0,PHI
MACLEJO01 ,1974,1,John,MacLeod,32,50,0,0,PHO
WILKELE01 ,1974,1,Lenny,Wilkens,38,44,0,0,POR
RUSSEBI01 ,1974,1,Bill,Russell,43,39,4,5,SEA
JONESKC01 ,1974,1,KC,Jones,60,22,8,9,WA1
FITZSCO01 ,1975,1,Cotton,Fitzsimmons,28,46,0,0,ATL
