ilkid,firstname,lastname,leag,gp,minutes,pts,dreb,oreb,reb,asts,stl,blk,turnover,pf,fga,fgm,fta,ftm,tpa,tpm
BAILEGU01 ,Gus,Bailey,N,8,116,45,0,0,19,16,0,0,0,12,36,18,10,9,0,0
BAILEJA01 ,James,Bailey,N,14,164,59,21,10,31,6,11,10,12,27,47,22,22,15,0,0
BAILETH01 ,Thurl,Bailey,N,69,2117,929,266,116,382,98,30,82,109,196,811,364,241,201,4,0
BAILETO01 ,Toby,Bailey,N,5,15,4,1,1,2,2,0,0,0,1,4,1,4,2,0,0
BAKERVI01 ,Vin,Baker,N,24,749,316,95,74,169,33,29,25,44,88,281,138,73,39,2,1
BALLAGR01 ,Greg,Ballard,N,65,1308,481,102,53,326,103,51,16,42,120,423,183,140,111,13,4
BANKSGE01 ,Gene,Banks,N,27,702,292,82,55,137,67,16,4,35,63,256,129,57,34,3,0
BANKSMA01 ,Marcus,Banks,N,11,164,52,16,2,18,14,6,1,9,25,45,20,10,7,11,5
BANTOMI01 ,Mike,Bantom,N,29,564,178,41,44,108,33,16,10,30,97,145,70,69,38,0,0
BARBOLE01 ,Leandrinho,Barbosa,N,12,116,30,12,5,17,12,3,0,5,8,35,12,4,2,10,4
BARKECL01 ,Cliff,Barker,N,9,0,42,0,0,15,23,0,0,0,20,50,16,18,10,0,0
BARKLCH01 ,Charles,Barkley,N,123,4849,2833,1072,510,1582,482,193,108,353,408,1965,1009,1048,751,251,64
BARKSDO01 ,Don,Barksdale,N,13,228,84,0,0,62,17,0,0,0,40,76,29,32,26,0,0
BARNEDI01 ,Dick,Barnett,N,102,3031,1539,0,0,273,247,0,0,0,282,1317,603,445,333,0,0
BARNEJI01 ,Jim,Barnes,N,11,200,64,0,0,61,6,0,0,0,35,63,26,18,12,0,0
BARNEJI02 ,Jim,Barnett,N,30,669,321,0,0,74,78,0,0,0,64,303,127,83,67,0,0
BARNEMA01 ,Marvin,Barnes,A,10,444,308,0,0,141,16,0,0,0,45,249,124,77,60,0,0
BARNHJO01 ,John,Barnhill,A,14,317,77,0,0,33,25,0,0,0,41,88,28,41,21,0,0
BARNHJO01 ,John,Barnhill,N,21,421,111,0,0,41,44,0,0,0,42,113,46,31,19,0,0
BARNHLE01 ,Leo,Barnhorst,N,13,224,140,0,0,45,35,0,0,0,44,146,57,37,26,0,0
BARREER01 ,Ernie,Barrett,N,9,106,19,0,0,13,8,0,0,0,21,33,7,5,5,0,0
BARRMI01  ,Mike,Barr,A,20,639,135,0,0,65,72,0,0,0,62,128,58,24,19,0,0
BARRODA01 ,Dana,Barros,N,31,264,132,21,2,23,26,12,0,17,20,104,53,12,9,39,17
BARRYBR01 ,Brent,Barry,N,36,942,257,76,23,99,83,25,11,47,86,199,85,48,39,113,48
BARRYDR01 ,Drew,Barry,N,2,5,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0
BARRYJO01 ,Jon,Barry,N,62,929,326,96,22,118,85,32,3,52,69,270,109,56,48,149,60
BARRYRI01 ,Rick,Barry,A,31,1338,997,0,0,257,116,0,0,0,90,767,381,273,235,0,0
BARRYRI01 ,Rick,Barry,N,74,2723,1833,6,0,418,340,1,3,10,232,1688,719,448,392,12,3
BASSETI01 ,Tim,Bassett,A,19,556,170,0,0,182,29,0,0,0,64,158,77,23,16,0,0
BASSETI01 ,Tim,Bassett,N,5,36,8,0,1,3,0,0,0,1,11,7,3,2,2,0,0
BATESBI01 ,Billyray,Bates,N,6,219,160,12,5,17,25,10,2,26,24,121,66,31,25,8,3
BATTISH01 ,Shane,Battier,N,8,188,48,23,16,39,7,2,5,8,31,46,19,11,6,14,4
BATTITO01 ,Tony,Battie,N,26,656,163,118,52,170,18,14,44,18,93,141,73,29,17,3,0
BATTLJO01 ,John,Battle,N,55,719,348,53,17,70,82,13,1,55,70,289,124,112,96,22,4
BATTLKE01 ,Kenny,Battle,N,8,34,9,4,1,5,0,0,0,2,5,13,4,1,1,0,0
BAUMJO01  ,Johnny,Baum,A,33,600,262,0,0,113,13,0,0,0,66,217,117,39,28,0,0
BAUMJO01  ,Johnny,Baum,N,2,5,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0
BAYLOEL01 ,Elgin,Baylor,N,134,5510,3623,0,0,1725,541,0,0,0,435,3151,1388,1101,847,0,0
BAYNEHO01 ,Howard,Bayne,A,5,85,12,0,0,23,5,0,0,0,12,19,3,11,6,0,0
BEARDAL01 ,Al,Beard,N,32,754,289,0,0,119,88,10,2,0,105,259,115,89,59,0,0
BEARDRA01 ,Ralph,Beard,N,8,0,132,0,0,12,35,0,0,0,17,131,49,45,34,0,0
BEASLCH01 ,Charlie,Beasley,A,23,698,261,0,0,50,80,0,0,0,48,218,99,78,63,0,0
BEASLJO01 ,John,Beasley,A,51,1274,552,0,0,376,62,0,0,0,105,465,228,112,96,0,0
BEATYZE01 ,Zelmo,Beaty,A,52,2000,991,0,0,674,102,0,0,0,192,691,369,303,253,0,0
BEATYZE01 ,Zelmo,Beaty,N,63,2345,1071,0,0,696,98,0,0,0,267,857,399,380,273,0,0
BECKBY01  ,Byron,Beck,A,56,1601,781,0,0,424,76,0,0,0,194,678,320,171,141,0,0
BECKBY01  ,Byron,Beck,N,5,29,8,0,0,6,1,0,0,0,5,9,3,2,2,0,0
BECKCO01  ,Corey,Beck,N,6,26,15,0,1,1,0,4,0,3,4,12,6,2,2,2,1
BECKEAR01 ,Art,Becker,A,25,415,178,0,0,86,14,0,0,0,64,143,68,51,42,0,0
BECKER01  ,Ernie,Beck,N,24,517,175,0,0,99,43,0,0,0,53,180,72,44,31,0,0
BEDFOWI01 ,William,Bedford,N,14,93,29,17,9,26,4,3,5,4,19,36,9,16,11,2,0
BEHAGRO01 ,Ron,Behagen,N,8,122,51,1,1,31,9,0,0,1,32,50,24,3,3,0,0
BELLAWA01 ,Walt,Bellamy,N,46,1939,850,0,0,680,136,0,0,0,160,686,323,318,204,0,0
BELLDE01  ,Dennis,Bell,N,3,27,2,0,0,4,0,0,0,0,6,8,1,5,0,0,0
BELLRA01  ,Raja,Bell,N,35,437,133,47,18,65,34,20,0,11,61,103,53,34,19,23,8
BEMORIR01 ,Irv,Bemoras,N,3,20,9,0,0,6,1,0,0,0,4,8,3,3,3,0,0
BENBOLE01 ,Leon,Benbow,N,2,5,5,0,0,1,2,0,0,0,0,4,2,2,1,0,0
BENDEJO01 ,Jonathan,Bender,N,34,303,112,29,13,42,9,5,19,17,30,97,40,28,19,36,13
BENJABE01 ,Benoit,Benjamin,N,18,432,145,78,22,100,7,10,34,24,53,99,50,58,45,1,0
BENNEMA01 ,Mario,Bennett,N,6,18,8,5,4,9,0,0,1,2,2,6,3,2,2,0,0
BENNETO01 ,Tony,Bennett,N,8,86,30,8,1,9,13,2,1,5,8,25,12,2,2,8,4
BENNEWI01 ,Winston,Bennett,N,5,135,50,7,14,21,5,3,1,4,11,47,23,6,4,0,0
BENOIDA01 ,David,Benoit,N,57,1237,410,151,62,213,34,19,31,54,111,381,158,74,56,97,38
BENSOKE01 ,Kent,Benson,N,29,432,137,58,21,94,14,18,14,11,72,116,56,36,25,0,0
BERRYWA01 ,Walter,Berry,N,7,151,99,14,16,30,11,7,3,17,18,76,40,23,19,1,0
BESTTR01  ,Travis,Best,N,63,1222,442,92,34,126,173,45,8,77,165,380,157,120,105,76,23
BIANCAL01 ,Al,Bianchi,N,56,1135,448,0,0,125,101,0,0,0,193,471,184,115,80,0,0
BIBBYHE01 ,Henry,Bibby,N,72,1743,566,29,15,176,231,23,0,27,165,533,211,181,139,13,5
BIBBYMI01 ,Mike,Bibby,N,45,1762,814,127,36,163,257,67,15,103,112,680,291,202,167,176,65
BILLUCH01 ,Chauncey,Billups,N,68,2511,1166,202,43,245,383,68,10,153,185,872,350,396,353,333,113
BINGDA01  ,Dave,Bing,N,31,964,477,0,0,85,133,0,0,0,76,452,191,127,95,0,0
BIRDLA01  ,Larry,Bird,N,164,6886,3897,1323,360,1683,1062,296,145,506,466,3090,1458,1012,901,249,80
BIRDSOT01 ,Otis,Birdsong,N,35,1090,546,54,32,104,104,56,5,61,89,483,232,139,81,11,1
BLABUW01  ,Uwe,Blab,N,7,29,12,5,2,7,1,1,1,3,6,7,3,12,6,0,0
BLACKCH01 ,Charlie,Black,N,8,0,57,0,0,0,17,0,0,0,38,61,18,29,21,0,0
BLACKRO01 ,Rolando,Blackman,N,69,2137,1110,122,78,200,217,42,14,126,119,897,434,268,233,31,9
BLAKEST01 ,Steve,Blake,N,4,17,2,3,0,3,2,0,0,1,3,4,1,0,0,1,0
BLANKLA01 ,Lance,Blanks,N,1,10,2,1,0,1,3,3,0,1,2,2,1,0,0,0,0
BLAYLMO01 ,Mookie,Blaylock,N,54,2161,769,199,67,266,357,116,24,162,102,757,280,123,84,357,125
BLOCKJO01 ,John,Block,N,21,288,130,0,0,75,9,0,0,0,38,112,50,39,30,0,0
BLOUNCO01 ,Corie,Blount,N,37,487,85,81,60,141,13,14,12,21,79,67,32,35,21,1,0
BLOUNMA01 ,Mark,Blount,N,22,370,93,58,28,86,8,19,18,23,50,75,35,33,23,0,0
BOBBNE01  ,Nelson,Bobb,N,6,29,6,0,0,2,4,0,0,0,9,6,2,5,2,0,0
BOERWTO01 ,Tom,Boerwinkle,N,35,785,250,0,0,330,123,0,0,0,94,233,107,48,36,0,0
BOGUEMU01 ,Muggsy,Bogues,N,18,636,170,38,13,51,105,33,0,36,36,167,70,26,20,21,10
BOLMA01   ,Manute,Bol,N,29,496,82,72,37,109,3,6,77,13,61,88,34,27,12,23,2
BONDWA01  ,Walter,Bond,N,4,13,1,1,0,1,0,1,0,0,4,2,0,2,1,1,0
BONHARO01 ,Ron,Bonham,A,3,30,13,0,0,6,3,0,0,0,4,15,4,6,5,0,0
BONHARO01 ,Ron,Bonham,N,9,29,31,0,0,4,0,0,0,0,3,23,12,14,7,0,0
BONNEAN01 ,Anthony,Bonner,N,23,172,45,17,21,38,5,6,1,16,31,36,17,21,11,1,0
BOONERO01 ,Ron,Boone,A,76,2493,1248,0,0,380,398,0,0,0,243,1094,506,270,236,0,0
BOONERO01 ,Ron,Boone,N,8,226,94,0,0,15,14,9,0,0,28,77,37,21,20,0,0
BOOTHCA01 ,Calvin,Booth,N,10,137,38,12,16,28,2,7,6,4,29,37,15,9,8,0,0
BOOZEBO01 ,Bob,Boozer,N,48,1283,556,0,0,341,58,0,0,0,136,456,213,176,130,0,0
BORNHJA01 ,Jake,Bornheimer,N,2,0,2,0,0,0,0,0,0,0,2,3,1,0,0,0,0
BORRELA01 ,Lazaro,Borrell,N,2,26,10,8,3,11,1,0,0,1,2,7,4,4,2,0,0
BORYLVI01 ,Vince,Boryla,N,33,463,436,0,0,89,65,0,0,0,114,375,158,135,120,0,0
BOSWETO01 ,Tom,Boswell,N,20,259,82,4,2,54,25,3,6,4,42,59,33,24,16,0,0
BOVENDO01 ,Don,Boven,N,8,111,23,0,0,16,2,0,0,0,22,28,7,16,9,0,0
BOWENBR01 ,Bruce,Bowen,N,80,2422,473,169,40,209,109,55,46,49,216,440,163,102,54,231,93
BOWENRY01 ,Ryan,Bowen,N,11,131,20,7,7,14,6,6,0,6,23,26,9,3,2,0,0
BOWENTO01 ,Tom,Bowens,A,5,94,30,0,0,25,5,0,0,0,17,31,14,2,2,0,0
BOWIEAN01 ,Anthony,Bowie,N,40,310,89,22,7,29,33,5,3,14,47,75,36,13,12,7,5
BOWIESA01 ,Sam,Bowie,N,29,644,165,109,49,158,38,14,41,30,97,159,64,52,35,4,2
BOWMAIR01 ,Ira,Bowman,N,7,11,0,0,0,0,2,0,0,0,0,2,0,2,0,1,0
BOWMANA01 ,Nate,Bowman,N,29,196,54,0,0,79,9,0,0,0,51,66,22,13,10,0,0
BOYCEDO01 ,Donnie,Boyce,N,1,2,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0
BOYKIEA01 ,Earl,Boykins,N,10,273,138,9,8,17,38,9,2,15,19,131,55,26,23,21,5
BRACEST01 ,Steve,Bracey,N,10,137,69,0,0,14,23,0,0,0,14,54,27,20,15,0,0
BRADDGA01 ,Gary,Bradds,A,22,633,384,0,0,179,18,0,0,0,66,314,146,115,92,0,0
BRADDGA01 ,Gary,Bradds,N,1,5,6,0,0,2,0,0,0,0,0,3,2,2,2,0,0
BRADLAL01 ,Alonzo,Bradley,N,5,16,16,2,1,3,1,1,0,0,2,9,6,5,3,1,1
BRADLBI01 ,Bill,Bradley,N,95,3161,1222,0,0,333,263,0,0,0,313,1165,510,251,202,0,0
BRADLBI02 ,Bill,Bradley,A,2,9,6,0,0,1,1,0,0,0,3,2,2,2,2,0,0
BRADLCH01 ,Charles,Bradley,N,9,22,4,4,1,5,1,1,0,4,6,8,2,2,0,0,0
BRADLDU01 ,Dudley,Bradley,N,30,212,70,9,5,14,22,13,1,23,35,66,26,18,13,22,5
BRADLMI01 ,Michael,Bradley,N,1,3,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0
BRADLSH01 ,Shawn,Bradley,N,43,557,128,95,52,147,10,7,47,26,102,113,54,27,20,1,0
BRANCAD01 ,Adrian,Branch,N,12,47,16,9,3,12,7,2,0,5,10,24,4,14,8,1,0
BRANDTE01 ,Terrell,Brandon,N,38,946,398,104,18,122,163,31,9,67,66,361,165,58,52,42,16
BRANNBO01 ,Bob,Brannum,N,25,492,174,0,0,155,47,0,0,0,116,177,68,67,38,0,0
BRANSJE01 ,Jesse,Branson,A,17,402,193,0,0,102,20,0,0,0,62,155,61,87,71,0,0
BRATZMI01 ,Mike,Bratz,N,37,666,315,28,10,59,96,33,3,27,82,262,119,80,63,41,14
BRAUNCA01 ,Carl,Braun,N,31,706,415,0,0,81,87,0,0,0,107,369,134,178,147,0,0
BREMEJR01 ,J.R.,Bremer,N,10,146,47,15,0,15,12,3,0,8,12,56,16,8,7,32,8
BRENNPE01 ,Pete,Brennan,N,2,6,4,0,0,5,0,0,0,0,4,7,2,1,0,0,0
BREUERA01 ,Randy,Breuer,N,60,870,287,130,56,186,26,23,44,30,129,223,115,95,57,0,0
BREWEJA01 ,Jamison,Brewer,N,2,6,1,2,2,4,1,0,0,1,3,2,0,2,1,0,0
BREWEJI01 ,Jim,Brewer,N,31,742,164,18,10,204,49,7,8,5,59,145,68,54,28,0,0
BREWERO01 ,Ron,Brewer,N,16,411,226,11,2,24,32,8,16,16,30,191,92,59,41,7,1
BRIANFR01 ,Frank,Brian,N,43,768,394,0,0,61,93,0,0,0,105,386,134,154,126,0,0
BRICKFR01 ,Frank,Brickowski,N,37,590,233,92,30,122,39,22,10,50,114,181,93,63,40,25,7
BRIDGBI01 ,Bill,Bridges,N,113,3521,1185,0,0,1305,219,0,0,0,414,1135,475,349,235,0,0
BRIDGJU01 ,Junior,Bridgeman,N,49,1359,650,100,43,172,128,36,11,66,148,581,264,145,118,16,4
BRISTAL01 ,Allan,Bristow,A,7,97,45,0,0,14,12,0,0,0,14,35,13,24,19,0,0
BRISTAL01 ,Allan,Bristow,N,20,242,86,0,0,42,42,11,5,0,33,73,32,36,22,0,0
BRITTMI01 ,Mike,Brittain,N,1,2,2,0,1,1,0,0,1,0,0,2,1,0,0,0,0
BROKAGA01 ,Gary,Brokaw,N,6,152,83,0,0,15,36,0,0,0,17,56,32,24,19,0,0
BROOKKE01 ,Kevin,Brooks,N,2,5,5,1,1,2,0,0,0,0,0,7,2,2,1,1,0
BROOKSC01 ,Scott,Brooks,N,34,355,89,20,4,24,57,12,0,21,42,76,29,28,21,23,10
BROWNCH01 ,Chucky,Brown,N,41,651,218,83,33,116,19,15,7,21,74,177,83,70,50,5,2
BROWNDE01 ,Dee,Brown,N,31,782,320,68,20,88,112,23,15,44,79,272,122,70,60,55,16
BROWNDE02 ,Devin,Brown,N,21,190,73,20,5,25,12,4,1,8,21,57,25,24,14,17,9
BROWNFR01 ,Fred,Brown,N,83,1900,1197,39,24,196,193,44,7,35,144,1082,499,227,186,42,13
BROWNGE02 ,Gerald,Brown,N,1,1,2,0,0,0,0,0,0,0,0,1,1,0,0,0,0
BROWNJO01 ,John,Brown,N,7,64,10,8,2,10,1,1,1,5,10,13,4,2,2,1,0
BROWNKE01 ,Kedrick,Brown,N,5,14,8,0,2,2,0,1,1,0,0,6,3,2,1,1,1
BROWNKW01 ,Kwame,Brown,N,3,60,15,11,4,15,3,0,2,2,5,13,5,9,5,0,0
BROWNMI01 ,Mike,Brown,N,43,702,241,110,53,163,23,8,5,40,109,179,79,105,83,0,0
BROWNPJ01 ,P.j.,Brown,N,71,2313,601,368,226,594,79,54,71,87,240,533,226,201,149,1,0
BROWNRA01 ,Randy,Brown,N,47,281,74,20,9,29,22,15,3,18,46,70,27,23,17,6,3
BROWNRA02 ,Raymond,Brown,N,3,6,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
BROWNRI01 ,Rickey,Brown,N,7,98,33,17,5,22,2,0,1,5,22,24,11,14,11,0,0
BROWNRO01 ,Rogera,Brown,A,110,4030,1992,0,0,705,405,0,0,0,391,1590,765,583,462,0,0
BROWNRO02 ,Roger,Brown,N,11,56,10,0,0,14,2,0,0,0,10,10,4,4,2,0,0
BROWNTO01 ,Tony,Brown,N,17,133,32,8,4,12,9,4,0,2,17,28,11,11,7,8,3
BRUNSGE01 ,George,Bruns,A,2,7,1,0,0,0,1,0,0,0,3,1,0,2,1,0,0
BRUNSRI01 ,Rick,Brunson,N,16,28,9,0,1,1,3,1,0,5,5,7,2,6,5,0,0
BRYANEM01 ,Emmette,Bryant,N,27,758,231,0,0,111,70,0,0,0,104,227,88,69,55,0,0
BRYANJO01 ,Joe,Bryant,N,30,274,123,0,0,54,21,7,1,0,54,116,52,28,19,0,0
BRYANKO01 ,Kobe,Bryant,N,119,4556,2694,439,138,577,528,161,89,319,376,2233,969,802,635,375,121
BRYANMA01 ,Mark,Bryant,N,79,967,278,115,79,194,14,17,14,44,157,241,113,71,52,2,0
BRYANWA01 ,Wallace,Bryant,N,2,36,2,6,1,7,1,1,1,2,5,1,0,2,2,0,0
BUCCIGE01 ,George,Bucci,A,2,9,7,0,0,0,0,0,0,0,2,7,3,2,1,0,0
BUCKHJO01 ,Joe,Buckhalter,N,4,60,34,0,0,22,4,0,0,0,14,38,16,3,2,0,0
BUCKNGR01 ,Greg,Buckner,N,27,392,93,55,25,80,15,11,4,11,59,97,37,18,14,22,5
BUCKNQU01 ,Quinn,Buckner,N,68,1057,346,62,26,115,170,64,1,56,170,337,148,82,50,4,0
BUDKOWA01 ,Walter,Budko,N,3,58,16,0,0,12,5,0,0,0,11,14,6,7,4,0,0
BUECHJU01 ,Jud,Buechler,N,71,561,124,52,30,82,24,21,7,16,60,123,49,13,7,53,19
BUFORRO01 ,Rodney,Buford,N,24,124,44,13,5,18,7,6,1,4,20,44,17,6,5,11,5
BULLAMA01 ,Matt,Bullard,N,35,360,121,39,10,49,19,6,9,11,29,95,38,22,18,59,27
BUNTDI01  ,Dick,Bunt,N,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BUNTIBI01 ,Bill,Bunting,A,6,35,18,0,0,6,1,0,0,0,4,10,5,12,8,0,0
BURKEPA01 ,Pat,Burke,N,6,43,17,10,1,11,1,1,0,4,9,10,6,6,5,0,0
BURKSAN01 ,Antonio,Burks,N,1,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
BURLETO01 ,Tom,Burleson,N,15,572,311,0,0,153,23,0,0,0,54,227,123,86,65,0,0
BURMAJA01 ,Jack,Burmaster,N,3,0,36,0,0,0,8,0,0,0,7,31,16,4,4,0,0
BURRESC01 ,Scott,Burrell,N,23,273,85,35,11,46,11,21,3,11,33,76,34,13,11,21,6
BURTOWI01 ,Willie,Burton,N,2,11,2,0,0,0,0,0,0,1,3,4,1,0,0,2,0
