ilkid,year,firstname,lastname,team,leag,gp,minutes,pts,dreb,oreb,reb,asts,stl,blk,turnover,pf,fga,fgm,fta,ftm,tpa,tpm
CROSSFR01 ,1949,Francis,Crossin,PH1,N,2,0,26,0,0,0,4,0,0,0,3,27,9,9,8,0,0
CURRAFR01 ,1949,Fran,Curran,ROC,N,2,0,5,0,0,0,0,0,0,0,0,7,2,1,1,0,0
DAVIEBO01 ,1949,Bob,Davies,ROC,N,2,0,15,0,0,0,9,0,0,0,11,17,4,8,7,0,0
DILLOJO01 ,1949,John,Dillon,WSC,N,1,0,4,0,0,0,0,0,0,0,2,1,1,2,2,0,0
DONOVHA01 ,1949,Harry,Donovan,NYK,N,3,0,2,0,0,0,0,0,0,0,4,4,0,2,2,0,0
DUNCAAN01 ,1949,Andy,Duncan,ROC,N,2,0,6,0,0,0,1,0,0,0,5,3,2,2,2,0,0
EDDLETH01 ,1949,Thomas,Eddleman,TRI,N,3,0,49,0,0,0,7,0,0,0,17,45,17,25,15,0,0
ENGLUGE01 ,1949,Gene,Englund,TRI,N,2,0,11,0,0,0,1,0,0,0,6,5,1,11,9,0,0
EVANSBO01 ,1949,Bob,Evans,INI,N,2,0,2,0,0,0,0,0,0,0,3,4,1,0,0,0,0
FEERIBO01 ,1949,Bob,Feerick,WSC,N,2,0,9,0,0,0,6,0,0,0,10,12,3,4,3,0,0
FERRIAR01 ,1949,Arnie,Ferrin,MIE,N,12,0,82,0,0,0,30,0,0,0,51,97,33,29,16,0,0
FLEISJE01 ,1949,Jerry,Fleishman,PH1,N,2,0,2,0,0,0,3,0,0,0,6,3,1,1,0,0,0
FULKSJO01 ,1949,Joe,Fulks,PH1,N,2,0,15,0,0,0,2,0,0,0,10,26,5,10,5,0,0
GABORBI01 ,1949,Billy,Gabor,SYR,N,10,0,76,0,0,0,25,0,0,0,27,97,25,31,26,0,0
GALLAHA01 ,1949,Harry,Gallatin,NYK,N,5,0,65,0,0,0,6,0,0,0,23,52,20,32,25,0,0
GARDNVE01 ,1949,Vern,Gardner,PH1,N,2,0,36,0,0,0,2,0,0,0,11,44,15,9,6,0,0
GIBSODE01 ,1949,Dee,Gibson,TRI,N,3,0,11,0,0,0,2,0,0,0,11,11,4,5,3,0,0
GRABOJO01 ,1949,Joe,Graboski,CH1,N,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GRANTHA01 ,1949,Harvey,Grant,MIE,N,11,0,43,0,0,0,7,0,0,0,25,45,18,14,7,0,0
GROZAAL01 ,1949,Alex,Groza,INI,N,6,0,137,0,0,0,12,0,0,0,21,74,44,59,49,0,0
GUOKAAL01 ,1949,Al,Guokas,PH1,N,2,0,6,0,0,0,5,0,0,0,3,4,2,6,2,0,0
HALBECH01 ,1949,Chuck,Halbert,WSC,N,2,0,19,0,0,0,3,0,0,0,7,16,7,9,5,0,0
HALEBR01  ,1949,Bruce,Hale,INI,N,6,0,43,0,0,0,17,0,0,0,11,40,14,17,15,0,0
HANNUAL01 ,1949,Alex,Hannum,SYR,N,11,0,93,0,0,0,10,0,0,0,50,86,38,34,17,0,0
HARGIJO01 ,1949,John,Hargis,AND,N,8,0,101,0,0,0,13,0,0,0,26,89,32,45,37,0,0
HARRIBO01 ,1949,Bob,Harris,FTW,N,4,0,30,0,0,0,11,0,0,0,15,32,9,20,12,0,0
HARRIBO01 ,1949,Bob,Harris,MIE,N,12,0,42,0,0,0,12,0,0,0,34,37,16,14,10,0,0
HASSEBI01 ,1949,Billy,Hassett,MIE,N,7,0,9,0,0,0,4,0,0,0,8,12,3,10,3,0,0
HAWKIMA01 ,1949,Marshall,Hawkins,INI,N,2,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
HENRYBI01 ,1949,Bill,Henry,TRI,N,3,0,9,0,0,0,5,0,0,0,14,17,2,9,5,0,0
HERMSCL01 ,1949,Clarence,Hermsen,CH1,N,2,0,18,0,0,0,5,0,0,0,12,24,7,5,4,0,0
HOLLAJO01 ,1949,Joe,Holland,INI,N,6,0,48,0,0,0,15,0,0,0,29,61,21,15,6,0,0
HOLZMRE01 ,1949,Red,Holzman,ROC,N,2,0,7,0,0,0,0,0,0,0,3,9,3,2,1,0,0
JAMESGE01 ,1949,Gene,James,NYK,N,1,0,2,0,0,0,0,0,0,0,0,3,1,0,0,0,0
JAROSTO01 ,1949,Tony,Jaros,MIE,N,2,0,1,0,0,0,0,0,0,0,2,3,0,2,1,0,0
JOHNSAR01 ,1949,Arnie,Johnson,ROC,N,2,0,20,0,0,0,5,0,0,0,11,12,6,12,8,0,0
JONESWA02 ,1949,Wallace,Jones,INI,N,5,0,73,0,0,0,22,0,0,0,26,73,22,34,29,0,0
JORGENO01 ,1949,Noble,Jorgensen,SHE,N,3,0,52,0,0,0,8,0,0,0,15,44,17,30,18,0,0
KATKALE01 ,1949,Leo,Katkaveck,WSC,N,2,0,6,0,0,0,3,0,0,0,7,13,2,3,2,0,0
KERRIJA01 ,1949,Jack,Kerris,FTW,N,4,0,37,0,0,0,5,0,0,0,17,30,12,22,13,0,0
KIRKWA01  ,1949,Walt,Kirk,TRI,N,3,0,5,0,0,0,1,0,0,0,8,7,2,6,1,0,0
KLIERLE01 ,1949,Leo,Klier,FTW,N,2,0,1,0,0,0,3,0,0,0,1,3,0,1,1,0,0
KLUEHDU01 ,1949,Duane,Klueh,FTW,N,2,0,9,0,0,0,3,0,0,0,8,10,2,5,5,0,0
KOMENMI01 ,1949,Milo,Komenich,AND,N,8,0,68,0,0,0,14,0,0,0,36,107,26,28,16,0,0
KUDELFR01 ,1949,Frank,Kudelka,CH1,N,2,0,5,0,0,0,4,0,0,0,4,10,2,2,1,0,0
LIVINRO01 ,1949,Ron,Livingstone,PH1,N,2,0,16,0,0,0,5,0,0,0,12,16,6,7,4,0,0
LUMPPRA01 ,1949,Ray,Lumpp,NYK,N,5,0,22,0,0,0,3,0,0,0,10,18,10,3,2,0,0
MACKNJO01 ,1949,Johnny,Macknowski,SYR,N,11,0,117,0,0,0,21,0,0,0,18,100,39,51,39,0,0
MCGUIDI01 ,1949,Dick,Mcguire,NYK,N,5,0,63,0,0,0,27,0,0,0,21,52,22,26,19,0,0
MCKINHO01 ,1949,Horace,Mckinney,WSC,N,2,0,16,0,0,0,3,0,0,0,11,22,6,5,4,0,0
MCMULMA01 ,1949,Malcolm,Mcmullan,INI,N,6,0,14,0,0,0,9,0,0,0,19,21,4,9,6,0,0
MIASEST01 ,1949,Stan,Miasek,CH1,N,1,0,5,0,0,0,0,0,0,0,2,4,2,1,1,0,0
MIKANED01 ,1949,Ed,Mikan,ROC,N,2,0,26,0,0,0,2,0,0,0,8,24,8,11,10,0,0
MIKANGE01 ,1949,George,Mikan,MIE,N,12,0,376,0,0,0,36,0,0,0,47,316,121,170,134,0,0
MIKKEVE01 ,1949,Vern,Mikkelsen,MIE,N,12,0,156,0,0,0,18,0,0,0,52,149,55,60,46,0,0
MOGUSLE01 ,1949,Leo,Mogus,PH1,N,2,0,10,0,0,0,7,0,0,0,10,18,3,7,4,0,0
MORRIMA01 ,1949,Max,Morris,SHE,N,3,0,43,0,0,0,14,0,0,0,8,40,14,26,15,0,0
NICHOJA01 ,1949,Jack,Nichols,TRI,N,3,0,59,0,0,0,11,0,0,0,11,60,18,31,23,0,0
NIEMIJO01 ,1949,John,Niemiera,AND,N,8,0,28,0,0,0,8,0,0,0,10,27,11,8,6,0,0
NOELPA01  ,1949,Paul,Noel,NYK,N,5,0,3,0,0,0,1,0,0,0,8,7,1,3,1,0,0
OKEEDI01  ,1949,Dick,O'keefe,WSC,N,2,0,15,0,0,0,5,0,0,0,10,13,4,8,7,0,0
OTTENDO01 ,1949,Don,Otten,WSC,N,2,0,41,0,0,0,6,0,0,0,7,25,10,26,21,0,0
OWENSJI01 ,1949,Jim,Owens,AND,N,8,0,80,0,0,0,19,0,0,0,37,89,26,41,28,0,0
PATRIST01 ,1949,Stan,Patrick,SHE,N,3,0,10,0,0,0,1,0,0,0,2,7,4,3,2,0,0
PERKIWA01 ,1949,Warren,Perkins,TRI,N,2,0,4,0,0,0,0,0,0,0,2,1,1,2,2,0,0
PETERED01 ,1949,Ed,Peterson,SYR,N,11,0,44,0,0,0,1,0,0,0,33,43,18,14,8,0,0
PHELAJA01 ,1949,Jack,Phelan,SHE,N,3,0,10,0,0,0,3,0,0,0,10,10,4,3,2,0,0
PHILLAN01 ,1949,Andy,Phillip,CH1,N,2,0,24,0,0,0,12,0,0,0,8,27,7,13,10,0,0
POLLAJI01 ,1949,Jim,Pollard,MIE,N,12,0,144,0,0,0,56,0,0,0,36,175,50,62,44,0,0
RATKOGE01 ,1949,George,Ratkovicz,SYR,N,11,0,144,0,0,0,21,0,0,0,45,121,47,73,50,0,0
RAYDO01   ,1949,Don,Ray,TRI,N,3,0,18,0,0,0,0,0,0,0,7,13,4,11,10,0,0
REISEJO01 ,1949,Joseph,Reiser,WSC,N,2,0,23,0,0,0,5,0,0,0,11,27,7,11,9,0,0
RISENAR01 ,1949,Arnie,Risen,ROC,N,2,0,23,0,0,0,4,0,0,0,7,19,7,15,9,0,0
RITTEGO01 ,1949,Goebel,Ritter,NYK,N,5,0,45,0,0,0,8,0,0,0,22,33,10,28,25,0,0
ROLLIKE01 ,1949,Kenny,Rollins,CH1,N,2,0,0,0,0,0,0,0,0,0,4,3,0,0,0,0,0
SAULFR01  ,1949,Frank,Saul,ROC,N,2,0,18,0,0,0,4,0,0,0,8,13,7,5,4,0,0
SCHAEHE01 ,1949,Herm,Schaefer,MIE,N,12,0,51,0,0,0,16,0,0,0,12,42,16,22,19,0,0
SCHAUFR01 ,1949,Fred,Schaus,FTW,N,4,0,74,0,0,0,11,0,0,0,9,66,24,31,26,0,0
SCHAYDO01 ,1949,Dolph,Schayes,SYR,N,11,0,188,0,0,0,28,0,0,0,43,148,57,101,74,0,0
SCHOOMI01 ,1949,Milt,Schoon,SHE,N,3,0,17,0,0,0,3,0,0,0,6,17,5,10,7,0,0
SCHULDI01 ,1949,Dick,Schulz,SHE,N,3,0,12,0,0,0,2,0,0,0,12,9,1,10,10,0,0
SCHULHO01 ,1949,Howie,Schultz,FTW,N,4,0,43,0,0,0,4,0,0,0,15,61,15,17,13,0,0
SCOLAFR01 ,1949,Freddie,Scolari,WSC,N,2,0,37,0,0,0,3,0,0,0,6,27,13,11,11,0,0
SENESGE01 ,1949,George,Senesky,PH1,N,2,0,14,0,0,0,3,0,0,0,2,16,6,4,2,0,0
SEYMOPA01 ,1949,Paul,Seymour,SYR,N,11,0,78,0,0,0,32,0,0,0,34,93,27,28,24,0,0
SHAEFCA01 ,1949,Carl,Shaeffer,INI,N,6,0,21,0,0,0,7,0,0,0,20,21,7,14,7,0,0
SIMMOCO01 ,1949,Connie,Simmons,NYK,N,5,0,42,0,0,0,7,0,0,0,21,40,11,21,20,0,0
SPEAROD01 ,1949,Odie,Spears,CH1,N,2,0,23,0,0,0,1,0,0,0,11,22,9,10,5,0,0
STANCED01 ,1949,Ed,Stanczak,AND,N,8,0,51,0,0,0,10,0,0,0,26,48,14,30,23,0,0
TODORMA01 ,1949,Marko,Todorovich,TRI,N,3,0,31,0,0,0,8,0,0,0,14,31,6,24,19,0,0
VANBRBU01 ,1949,Butch,Vanbredakolff,NYK,N,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
VANCEGE01 ,1949,Gene,Vance,TRI,N,3,0,19,0,0,0,9,0,0,0,17,31,7,10,5,0,0
VANDEER01 ,1949,Ernie,Vandeweghe,NYK,N,4,0,32,0,0,0,3,0,0,0,16,26,9,16,14,0,0
WAGERCL01 ,1949,Clint,Wager,FTW,N,4,0,30,0,0,0,8,0,0,0,22,25,11,10,8,0,0
WALTHPA01 ,1949,Paul,Walther,INI,N,6,0,33,0,0,0,8,0,0,0,17,41,12,19,9,0,0
WANZEBO01 ,1949,Bobby,Wanzer,ROC,N,2,0,27,0,0,0,4,0,0,0,7,17,8,13,11,0,0
WIERMU01  ,1949,Murray,Wier,TRI,N,3,0,10,0,0,0,0,0,0,0,4,9,3,8,4,0,0
ZASLOMA01 ,1949,Max,Zaslofsky,CH1,N,2,0,45,0,0,0,6,0,0,0,7,32,15,18,15,0,0
ARIZIPA01 ,1950,Paul,Arizin,PH1,N,2,0,41,0,0,20,3,0,0,0,10,27,14,16,13,0,0
ARMSTPA01 ,1950,Paul,Armstrong,FTW,N,3,0,15,0,0,7,5,0,0,0,8,19,7,1,1,0,0
BARKECL01 ,1950,Cliff,Barker,INI,N,3,0,8,0,0,15,10,0,0,0,10,19,4,3,0,0,0
BARNHLE01 ,1950,Leo,Barnhorst,INI,N,3,0,34,0,0,9,12,0,0,0,7,35,13,10,8,0,0
BEARDRA01 ,1950,Ralph,Beard,INI,N,3,0,66,0,0,12,13,0,0,0,6,61,27,17,12,0,0
BOBBNE01  ,1950,Nelson,Bobb,PH1,N,1,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0
BORYLVI01 ,1950,Vince,Boryla,NYK,N,14,0,217,0,0,52,37,0,0,0,42,193,83,56,51,0,0
CALHOBI01 ,1950,Bill,Calhoun,ROC,N,14,0,61,0,0,41,20,0,0,0,19,48,20,28,21,0,0
CERVIAL01 ,1950,Al,Cervi,SYR,N,7,0,78,0,0,33,38,0,0,0,31,56,17,50,44,0,0
CHOLLLE01 ,1950,Leroy,Chollet,SYR,N,7,0,13,0,0,16,9,0,0,0,16,23,4,8,5,0,0
CLOSSBI01 ,1950,Bill,Closs,PH1,N,2,0,7,0,0,8,5,0,0,0,5,8,2,5,3,0,0
COLEMJA01 ,1950,Jack,Coleman,ROC,N,14,0,140,0,0,179,66,0,0,0,49,139,55,41,30,0,0
COOPECH01 ,1950,Chuck,Cooper,BOS,N,2,0,10,0,0,13,3,0,0,0,8,12,4,5,2,0,0
COUSYBO01 ,1950,Bob,Cousy,BOS,N,2,0,28,0,0,15,12,0,0,0,8,42,9,12,10,0,0
DAVIEBO01 ,1950,Bob,Davies,ROC,N,14,0,222,0,0,43,75,0,0,0,45,234,79,80,64,0,0
DONHABO01 ,1950,Bob,Donham,BOS,N,2,0,13,0,0,8,2,0,0,0,9,9,4,12,5,0,0
FERRIAR01 ,1950,Arnie,Ferrin,MIE,N,7,0,41,0,0,33,16,0,0,0,21,36,12,18,17,0,0
FOUSTLA01 ,1950,Larry,Foust,FTW,N,3,0,36,0,0,37,5,0,0,0,5,45,14,10,8,0,0
FULKSJO01 ,1950,Joe,Fulks,PH1,N,2,0,52,0,0,16,1,0,0,0,9,49,16,27,20,0,0
GABORBI01 ,1950,Billy,Gabor,SYR,N,7,0,63,0,0,20,18,0,0,0,24,72,27,14,9,0,0
GALLAHA01 ,1950,Harry,Gallatin,NYK,N,14,0,165,0,0,163,26,0,0,0,57,140,49,87,67,0,0
GRANTHA01 ,1950,Harvey,Grant,MIE,N,6,0,11,0,0,5,0,0,0,0,12,11,4,3,3,0,0
GROZAAL01 ,1950,Alex,Groza,INI,N,3,0,97,0,0,42,2,0,0,0,14,73,36,33,25,0,0
HALEBR01  ,1950,Bruce,Hale,INI,N,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HANNUAL01 ,1950,Alex,Hannum,SYR,N,7,0,42,0,0,47,17,0,0,0,37,39,17,10,8,0,0
HARRIBO01 ,1950,Bob,Harris,BOS,N,2,0,7,0,0,4,2,0,0,0,4,10,1,7,5,0,0
HARRIBO01 ,1950,Bob,Harris,MIE,N,7,0,54,0,0,27,19,0,0,0,30,52,24,8,6,0,0
HERMSCL01 ,1950,Clarence,Hermsen,BOS,N,2,0,2,0,0,3,0,0,0,0,6,6,1,0,0,0,0
HERTZSI01 ,1950,Sidney,Hertzberg,BOS,N,2,0,10,0,0,2,3,0,0,0,8,13,3,5,4,0,0
HOLLAJO01 ,1950,Joe,Holland,INI,N,3,0,35,0,0,12,11,0,0,0,10,36,17,4,1,0,0
HOLZMRE01 ,1950,Red,Holzman,ROC,N,14,0,85,0,0,19,20,0,0,0,14,76,31,34,23,0,0
HUTTOJO01 ,1950,Joe,Hutton,MIE,N,7,0,2,0,0,3,1,0,0,0,5,3,0,4,2,0,0
JAROSTO01 ,1950,Tony,Jaros,MIE,N,7,0,20,0,0,7,6,0,0,0,11,20,6,11,8,0,0
JOHNSAR01 ,1950,Arnie,Johnson,ROC,N,14,0,157,0,0,126,40,0,0,0,68,107,48,78,61,0,0
JORGENO01 ,1950,Noble,Jorgensen,SYR,N,7,0,50,0,0,21,7,0,0,0,19,43,18,22,14,0,0
KAFTAGE01 ,1950,George,Kaftan,NYK,N,8,0,13,0,0,6,2,0,0,0,7,18,6,3,1,0,0
KERRIJA01 ,1950,Jack,Kerris,FTW,N,3,0,23,0,0,20,10,0,0,0,15,26,9,10,5,0,0
KLUEHDU01 ,1950,Duane,Klueh,FTW,N,2,0,2,0,0,3,3,0,0,0,3,6,1,0,0,0,0
KUDELFR01 ,1950,Frank,Kudelka,BOS,N,1,0,4,0,0,5,2,0,0,0,3,4,2,3,0,0,0
LAVELTO01 ,1950,Tony,Lavelli,NYK,N,2,0,4,0,0,1,1,0,0,0,2,5,1,2,2,0,0
LAVOYBO01 ,1950,Bob,Lavoy,INI,N,3,0,3,0,0,6,4,0,0,0,6,7,0,5,3,0,0
LEEDEED01 ,1950,Ed,Leede,BOS,N,2,0,3,0,0,0,2,0,0,0,3,7,1,1,1,0,0
LIVINRO01 ,1950,Ron,Livingstone,PH1,N,2,0,4,0,0,2,0,0,0,0,1,3,2,0,0,0,0
LOFGRDO01 ,1950,Don,Lofgran,INI,N,1,0,5,0,0,1,0,0,0,0,3,6,2,1,1,0,0
LUMPPRA01 ,1950,Ray,Lumpp,NYK,N,13,0,68,0,0,20,23,0,0,0,40,67,24,23,20,0,0
MACAUED01 ,1950,Ed,Macauley,BOS,N,2,0,44,0,0,18,8,0,0,0,4,36,17,16,10,0,0
MACKNJO01 ,1950,Johnny,Macknowski,SYR,N,2,0,13,0,0,7,4,0,0,0,5,13,6,3,1,0,0
MAHNKJO01 ,1950,John,Mahnken,INI,N,3,0,4,0,0,11,9,0,0,0,11,15,2,0,0,0,0
MCGUIDI01 ,1950,Dick,Mcguire,NYK,N,14,0,74,0,0,83,78,0,0,0,50,80,25,53,24,0,0
MCKINHO01 ,1950,Horace,Mckinney,BOS,N,2,0,26,0,0,10,8,0,0,0,9,25,11,5,4,0,0
MCNAMJO01 ,1950,Joe,Mcnamee,ROC,N,13,0,33,0,0,35,9,0,0,0,26,41,12,12,9,0,0
MEHENDI01 ,1950,Dick,Mehen,FTW,N,3,0,26,0,0,14,3,0,0,0,9,29,12,4,2,0,0
MIKANED01 ,1950,Ed,Mikan,PH1,N,2,0,22,0,0,21,3,0,0,0,6,26,6,11,10,0,0
MIKANGE01 ,1950,George,Mikan,MIE,N,7,0,168,0,0,74,9,0,0,0,25,152,62,55,44,0,0
MIKKEVE01 ,1950,Vern,Mikkelsen,MIE,N,7,0,109,0,0,67,17,0,0,0,35,96,39,47,31,0,0
MOGUSLE01 ,1950,Leo,Mogus,PH1,N,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MURRAKE01 ,1950,Ken,Murray,FTW,N,3,0,26,0,0,14,10,0,0,0,7,48,11,5,4,0,0
NOELPA01  ,1950,Paul,Noel,ROC,N,9,0,19,0,0,9,1,0,0,0,11,18,7,7,5,0,0
OLDHAJO01 ,1950,Johnny,Oldham,FTW,N,3,0,17,0,0,5,5,0,0,0,13,16,6,10,5,0,0
OSHEKE01  ,1950,Kevin,O'shea,MIE,N,5,0,5,0,0,5,1,0,0,0,8,7,1,4,3,0,0
OTTENDO01 ,1950,Don,Otten,FTW,N,3,0,29,0,0,19,8,0,0,0,15,26,8,16,13,0,0
PHILLAN01 ,1950,Andy,Phillip,PH1,N,2,0,15,0,0,15,14,0,0,0,9,15,6,6,3,0,0
POLLAJI01 ,1950,Jim,Pollard,MIE,N,7,0,95,0,0,62,27,0,0,0,27,108,35,30,25,0,0
RATKOGE01 ,1950,George,Ratkovicz,SYR,N,7,0,97,0,0,63,14,0,0,0,33,59,28,55,41,0,0
RISENAR01 ,1950,Arnie,Risen,ROC,N,14,0,273,0,0,196,33,0,0,0,59,239,93,135,87,0,0
RITTEGO01 ,1950,Goebel,Ritter,NYK,N,3,0,3,0,0,2,0,0,0,0,5,5,1,1,1,0,0
SAULFR01  ,1950,Frank,Saul,ROC,N,9,0,9,0,0,3,6,0,0,0,2,12,4,2,1,0,0
SCHAUFR01 ,1950,Fred,Schaus,FTW,N,3,0,43,0,0,16,10,0,0,0,10,44,17,11,9,0,0
SCHAYDO01 ,1950,Dolph,Schayes,SYR,N,7,0,143,0,0,102,20,0,0,0,28,105,47,64,49,0,0
SCOLAFR01 ,1950,Freddie,Scolari,SYR,N,7,0,88,0,0,41,16,0,0,0,23,93,33,27,22,0,0
SENESGE01 ,1950,George,Senesky,PH1,N,2,0,15,0,0,7,15,0,0,0,6,22,4,9,7,0,0
SEYMOPA01 ,1950,Paul,Seymour,SYR,N,7,0,34,0,0,26,25,0,0,0,22,48,10,21,14,0,0
SIMMOCO01 ,1950,Connie,Simmons,NYK,N,14,0,152,0,0,94,24,0,0,0,61,151,55,68,42,0,0
VANDEER01 ,1950,Ernie,Vandeweghe,NYK,N,14,0,101,0,0,66,34,0,0,0,55,91,37,37,27,0,0
WALTHPA01 ,1950,Paul,Walther,INI,N,3,0,17,0,0,5,9,0,0,0,6,7,3,15,11,0,0
WANZEBO01 ,1950,Bobby,Wanzer,ROC,N,14,0,175,0,0,71,59,0,0,0,45,121,57,67,61,0,0
ZASLOMA01 ,1950,Max,Zaslofsky,NYK,N,14,0,250,0,0,58,38,0,0,0,43,217,88,100,74,0,0
ARIZIPA01 ,1951,Paul,Arizin,PH1,N,3,120,77,0,0,38,8,0,0,0,17,53,24,33,29,0,0
BARNHLE01 ,1951,Leo,Barnhorst,INI,N,2,85,31,0,0,9,8,0,0,0,7,34,14,7,3,0,0
BOBBNE01  ,1951,Nelson,Bobb,PH1,N,3,29,4,0,0,2,1,0,0,0,4,3,1,5,2,0,0
BRANNBO01 ,1951,Bob,Brannum,BOS,N,3,48,9,0,0,10,3,0,0,0,16,12,4,6,1,0,0
BRIANFR01 ,1951,Frank,Brian,FTW,N,2,81,17,0,0,6,9,0,0,0,10,24,6,6,5,0,0
BUDKOWA01 ,1951,Walter,Budko,PH1,N,3,58,16,0,0,12,5,0,0,0,11,14,6,7,4,0,0
CALABGE01 ,1951,Gerry,Calabrese,SYR,N,6,53,24,0,0,8,4,0,0,0,18,24,10,4,4,0,0
CERVIAL01 ,1951,Al,Cervi,SYR,N,7,88,36,0,0,10,15,0,0,0,23,30,7,23,22,0,0
CLOSSBI01 ,1951,Bill,Closs,FTW,N,1,21,5,0,0,8,4,0,0,0,0,6,1,3,3,0,0
COLEMJA01 ,1951,Jack,Coleman,ROC,N,6,247,59,0,0,73,35,0,0,0,25,59,24,18,11,0,0
COOPECH01 ,1951,Chuck,Cooper,BOS,N,3,128,33,0,0,16,4,0,0,0,17,25,8,19,17,0,0
COUSYBO01 ,1951,Bob,Cousy,BOS,N,3,138,93,0,0,12,19,0,0,0,13,65,26,44,41,0,0
DAVIEBO01 ,1951,Bob,Davies,ROC,N,6,233,119,0,0,13,28,0,0,0,18,92,37,55,45,0,0
DICKEDI01 ,1951,Dick,Dickey,BOS,N,3,31,8,0,0,3,5,0,0,0,7,8,1,7,6,0,0
DONHABO01 ,1951,Bob,Donham,BOS,N,3,112,27,0,0,13,17,0,0,0,16,19,9,18,9,0,0
EDDLETH01 ,1951,Thomas,Eddleman,FTW,N,2,37,16,0,0,7,4,0,0,0,9,16,6,7,4,0,0
FENDLJA01 ,1951,Jake,Fendley,FTW,N,1,4,2,0,0,1,1,0,0,0,2,4,1,0,0,0,0
FOUSTLA01 ,1951,Larry,Foust,FTW,N,2,77,30,0,0,30,5,0,0,0,8,23,12,7,6,0,0
FULKSJO01 ,1951,Joe,Fulks,PH1,N,3,70,17,0,0,12,2,0,0,0,13,33,5,9,7,0,0
GABORBI01 ,1951,Billy,Gabor,SYR,N,7,80,34,0,0,6,10,0,0,0,16,33,11,16,12,0,0
GALLAHA01 ,1951,Harry,Gallatin,NYK,N,14,471,151,0,0,134,19,0,0,0,45,122,50,66,51,0,0
GARDNVE01 ,1951,Vern,Gardner,PH1,N,3,77,24,0,0,14,3,0,0,0,14,19,7,11,10,0,0
GRABOJO01 ,1951,Joe,Graboski,INI,N,2,96,46,0,0,23,3,0,0,0,7,48,19,15,8,0,0
HANNUAL01 ,1951,Alex,Hannum,ROC,N,6,146,40,0,0,26,8,0,0,0,30,42,16,13,8,0,0
HARRIBO01 ,1951,Bob,Harris,BOS,N,3,87,23,0,0,25,4,0,0,0,16,21,9,5,5,0,0
HARRIBO01 ,1951,Bob,Harris,MIE,N,12,235,74,0,0,20,24,0,0,0,39,68,30,17,14,0,0
HITCHLE01 ,1951,Lew,Hitch,MIE,N,13,152,24,0,0,44,9,0,0,0,16,25,9,21,6,0,0
